id,variable,value,group,location,metadata,time
68891ccd0569f6000931fad2,update_bright,-11327.298918269227,0daf1390006f9650dcc19886,,,2025-07-29T19:11:09.591Z
68891ccd0569f6000931fad1,alarme_incendio,0,0daf1390006f9650dcc19886,,"{""update_bright"":-11327.298918269227,""previous_temp"":""+20.9"",""previous_hum"":""43.9"",""current_val"":-14.771649999999998,""luminosity"":""00084""}",2025-07-29T19:11:09.591Z
68891ccb224461000ae9fdd7,location,,ebdf9ea000164422bcc19886,"[-51.15033017768788, -29.025249710538358]",,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd6,string,0164+20.943.900084084.10975008700.00000000.000000,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd5,longitude,-00.000000,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd4,latitude,-00.000000,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd3,etvoc,87,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd2,eco2,975,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd1,noise,084.1,1753816267836,,,2025-07-29T19:11:07.876Z
68891ccb224461000ae9fdd0,luminosity,84,1753816267836,,,2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdcf,humidity,43.9,1753816267836,,,2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdce,temperature,+20.9,1753816267836,,,2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdcd,cont,164,1753816267836,,,2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdcc,gateway_location,"-29.166719857925806,-51.177576153614126",1753816267836,"[-51.177576153614126, -29.16671985792581]",{},2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdcb,snr,2.2,1753816267836,,{},2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdca,rssi,-109,1753816267836,,{},2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdc9,gateway_eui,F8033202F7D20000,1753816267836,,{},2025-07-29T19:11:07.875Z
68891ccb224461000ae9fdc8,payload,303136342b32302e3934332e3930303038343038342e31303937353030383730302e30303030303030302e303030303030,1753816267836,,,2025-07-29T19:11:07.874Z
68891ccb224461000ae9fdc7,fcnt,45,1753816267836,,,2025-07-29T19:11:07.874Z
68891ccb224461000ae9fdc6,fport,19,1753816267836,,,2025-07-29T19:11:07.874Z
68891ccb224461000ae9fdc5,application_id,inovars,1753816267836,,,2025-07-29T19:11:07.874Z
6888fa7a748336000a7bf9ca,etvoc,0,1753807482865,,,2025-07-29T16:44:42.912Z
6888fa7a748336000a7bf9cb,latitude,-00.000000,1753807482865,,,2025-07-29T16:44:42.912Z
6888fa7a748336000a7bf9cc,longitude,-00.000000,1753807482865,,,2025-07-29T16:44:42.912Z
6888fa7a748336000a7bf9cd,string,0000+13.152.400620109.60400000000.00000000.000000,1753807482865,,,2025-07-29T16:44:42.913Z
